crop_name,country_code,adm_id,season_name,planting_year,harvest_year,planting_date,harvest_date,yield,production,planted_area,harvest_area
barley,MA,MA-NAT,main,1961,1961,,,1584300.0,571680.0,1584300.0,1584300.0
barley,MA,MA-NAT,main,1962,1962,,,360.8,1422000.0,1164000.0,1164000.0
barley,MA,MA-NAT,main,1963,1963,,,571680.0,1751771.0,1966665.0,1966665.0
barley,MA,MA-NAT,main,1964,1964,,,1164000.0,1401705.0,1746680.0,1746680.0
barley,MA,MA-NAT,main,1965,1965,,,1221.6,1431565.0,1675500.0,1675500.0
barley,MA,MA-NAT,main,1966,1966,,,1422000.0,703500.0,2088000.0,2088000.0
barley,MA,MA-NAT,main,1967,1967,,,1966665.0,1520000.0,2104000.0,2104000.0
barley,MA,MA-NAT,main,1968,1968,,,890.7,3212000.0,2135000.0,2135000.0
barley,MA,MA-NAT,main,1969,1969,,,1751771.0,2042000.0,2072000.0,2072000.0
barley,MA,MA-NAT,main,1970,1970,,,1746680.0,1955200.0,1915000.0,1915000.0
barley,MA,MA-NAT,main,1971,1971,,,802.5,2573900.0,2023000.0,2023000.0
barley,MA,MA-NAT,main,1972,1972,,,1401705.0,2467890.0,1957800.0,1957800.0
barley,MA,MA-NAT,main,1973,1973,,,1675500.0,1256600.0,2041300.0,2041300.0
barley,MA,MA-NAT,main,1974,1974,,,854.4,2389000.0,1998000.0,1998000.0
barley,MA,MA-NAT,main,1975,1975,,,1431565.0,1587000.0,1844000.0,1844000.0
barley,MA,MA-NAT,main,1976,1976,,,2088000.0,2862000.0,2236000.0,2236000.0
barley,MA,MA-NAT,main,1977,1977,,,336.9,1347000.0,2341000.0,2341000.0
barley,MA,MA-NAT,main,1978,1978,,,703500.0,2328000.0,2415000.0,2415000.0
barley,MA,MA-NAT,main,1979,1979,,,2104000.0,1888000.0,2193000.0,2193000.0
barley,MA,MA-NAT,main,1980,1980,,,722.4,2209670.0,2149800.0,2149800.0
barley,MA,MA-NAT,main,1981,1981,,,1520000.0,1039000.0,2228000.0,2228000.0
barley,MA,MA-NAT,main,1982,1982,,,2135000.0,2333760.0,2046500.0,2046500.0
barley,MA,MA-NAT,main,1983,1983,,,1504.4,1227870.0,2150800.0,2150800.0
barley,MA,MA-NAT,main,1984,1984,,,3212000.0,1405000.0,2126000.0,2126000.0
barley,MA,MA-NAT,main,1985,1985,,,2072000.0,2541400.0,2382600.0,2382600.0
barley,MA,MA-NAT,main,1986,1986,,,985.5,3563000.0,2471800.0,2471800.0
barley,MA,MA-NAT,main,1987,1987,,,2042000.0,1543300.0,2314500.0,2314500.0
barley,MA,MA-NAT,main,1988,1988,,,1915000.0,3454030.0,2499200.0,2499200.0
barley,MA,MA-NAT,main,1989,1989,,,1021.0,2998620.0,2398900.0,2398900.0
